127.0.0.1 - - [11/Sep/2023:21:00:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:00:08 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9244
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:00:08 +0900] "GET /docs/5.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:00:08 +0900] "GET /jsp0906/images/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:00:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:01:11 +0900] "GET /jsp0906/sawonList.do HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:08 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:08 +0900] "GET /docs/5.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:08 +0900] "GET /jsp0906/images/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /jsp0906/images/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /docs/5.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /jsp0906/images/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /docs/5.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /docs/5.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:11 +0900] "GET /jsp0906/images/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:12 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9259
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:12 +0900] "GET /docs/5.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:12 +0900] "GET /jsp0906/images/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [11/Sep/2023:21:04:12 +0900] "GET /jsp0906/main1.jsp HTTP/1.1" 200 9259
